id,text,label
T001,上传 CSV 文件后系统一直显示正在解析，没有生成批次编号。,数据接入
T002,JSONL 文件中的中文字段导入后出现乱码，请检查编码处理。,数据接入
T003,消息流消费者收到同一事件两次，幂等键似乎没有生效。,数据接入
T004,Parquet 文件上传到一半中断，重新上传后无法续传。,数据接入
T005,新增来源系统时找不到更新周期的登记入口。,数据接入
T006,批量文件超过限制后，页面没有提示具体允许的最大容量。,数据接入
T007,数据接入问题：数据接入模块的采集网关提示字段类型不一致，但没有指出异常字段名称。,质量规则
T008,隔离区中的文件修复后无法重新提交到标准区。,数据接入
T009,同一个数据源今天生成了两个批次编号，需要确认是否重复接入。,数据接入
T010,上传完成后校验和与本地文件不一致。,数据接入
T011,文件名包含空格时采集网关返回格式错误。,数据接入
T012,来源系统已停用，但每日接入任务仍在创建空批次。,数据接入
T013,压缩包内包含多个 CSV 时只识别了第一个文件。,数据接入
T014,数据接入问题：登记数据负责人后保存失败，刷新页面负责人字段为空。,权限与账号
T015,接入预览只显示前十列，后面的字段无法核对。,数据接入
T016,消息流延迟突然升高，希望查看当前消费位点。,数据接入
T017,新员工已加入项目组，但登录后仍看不到授权数据集。,权限与账号
T018,申请的只读权限到期后仍然可以下载数据。,权限与账号
T019,审计员批准导出申请后，数据负责人收不到待办通知。,权限与账号
T020,紧急权限已经超过四小时，账号仍显示具有管理员角色。,权限与账号
T021,访问令牌轮换后，旧令牌仍能调用查询接口。,权限与账号
T022,普通使用者可以看到质量规则的编辑按钮，需要限制操作。,权限与账号
T023,账号连续输错密码后被锁定，但页面没有解锁说明。,权限与账号
T024,权限与账号问题：生产数据导出申请中无法填写预期保存期限。,任务调度
T025,删除项目成员后，该成员的历史会话没有立即失效。,权限与账号
T026,同一账号在异地登录时没有触发安全提醒。,权限与账号
T027,权限审批记录缺少最终批准人的姓名。,权限与账号
T028,服务账号无法设置九十天的令牌轮换提醒。,权限与账号
T029,用户只能查看开发环境，却意外看到了生产数据目录。,权限与账号
T030,导出审批已被驳回，但申请人仍能点击下载链接。,权限与账号
T031,权限与账号问题：审计日志中的账号名称与统一身份系统不一致。,数据接入
T032,角色修改后必须重新登录才能看到新的菜单。,权限与账号
T033,关键字段完整率为 99.2%，质量报告却显示检查通过。,质量规则
T034,主键重复率超过百分之一，批次仍被标记为黄色告警。,质量规则
T035,记录数比七日中位数少四分之一，但没有收到黄色告警。,质量规则
T036,质量报告没有列出失败样本，无法定位异常记录。,质量规则
T037,同一条质量规则在验证环境和生产环境的版本号不同。,质量规则
T038,修复重复主键后重新检测，报告仍显示上一次的失败数量。,质量规则
T039,字段非空规则对只包含空格的字符串判断为合格。,质量规则
T040,规则误报率超过百分之三，但发布按钮仍然可用。,质量规则
T041,质量规则问题：质量检测完成后没有记录最终处置人。,任务调度
T042,新增枚举值后，合法性规则仍把它判定为异常。,质量规则
T043,质量报告中的检测时间比任务启动时间还早。,质量规则
T044,抽样检查比例设置为百分之十，实际只检查了百分之一。,质量规则
T045,红色失败批次可以绕过修复直接点击发布。,质量规则
T046,历史质量趋势图少了最近一天的数据点。,质量规则
T047,规则说明写的是完整率门槛 99.5%，计算结果却按 99% 判断。,质量规则
T048,质量规则问题：质量规则删除后，旧批次的报告无法再查看规则名称。,权限与账号
T049,定时任务到点没有启动，调度中心也没有失败记录。,任务调度
T050,普通任务失败后连续重试，没有按照五分钟间隔执行。,任务调度
T051,资金结算任务失败后被系统自动重试，需要立即关闭该策略。,任务调度
T052,任务连续三次没有心跳，但下游依赖仍然开始运行。,任务调度
T053,补数任务覆盖了昨天的原始运行编号，无法区分两次结果。,任务调度
T054,任务超过设置的超时时间后仍处于运行中状态。,任务调度
T055,暂停上游任务后，下游任务没有同步暂停。,任务调度
T056,负责人字段为空的任务仍然通过了生产发布检查。,任务调度
T057,任务重跑成功后，失败告警一直没有恢复。,任务调度
T058,任务调度问题：每周任务在节假日错误地执行了两次。,数据接入
T059,依赖数据尚未到达，调度中心却提前启动计算任务。,任务调度
T060,任务被取消后仍然占用执行队列中的并发槽位。,任务调度
T061,修改任务时区后，下一次运行时间偏移了八小时。,任务调度
T062,调度日志只有结束时间，没有记录开始时间。,任务调度
T063,任务调度问题：批量暂停十个任务时有两个任务仍在继续执行。,质量规则
T064,失败重试次数设置为两次，系统实际执行了三次。,任务调度
T065,上传 CSV 文件后系统一直显示正在解析，没有生成批次编号。,数据接入
T066,新员工已加入项目组，但登录后仍看不到授权数据集。,权限与账号
T067,关键字段完整率是 99.2%，但质量报告仍然显示通过。,质量规则
T068,定时任务到达执行时间后没有启动，调度中心也查不到失败记录。,任务调度
T069,新增来源系统时，页面找不到更新周期登记入口。,数据接入
T070,紧急权限超过四小时仍未回收，账号还显示管理员角色。,权限与账号
T071,会议室空调温度太低，希望物业下午调高两度。,任务调度
T072,食堂本周菜单没有素食套餐，请增加清淡菜品。,质量规则
T073,快递柜验证码过期，包裹暂时无法取出。,权限与账号
T074,园区班车早班延误二十分钟，需要查询驾驶员电话。,数据接入
T075,新的 JSONL 文件每行末尾有空格，网关误判为无效记录。,数据接入
T076,从验证环境复制接入配置时，来源系统名称没有同步。,数据接入
T077,临时访客账号无法设置自动失效日期。,权限与账号
T078,数据负责人离职后，审批流程仍然发送给原账号。,权限与账号
T079,同一批次重复运行检测后生成了两份相互矛盾的报告。,质量规则
T080,任务成功状态已经返回，但导出文件并不存在。,任务调度
